num,title,director,actors,country,language,score,commentors,releasedate,runtime,series,commente
53,寻梦环游记,李·昂克里奇,"['安东尼·冈萨雷斯', '盖尔·加西亚·贝纳尔', '本杰明·布拉特', '阿兰纳·乌巴奇']",美国,英语 / 西班牙语,9.0,727590,2017-11-24(中国大陆),105分钟,"['喜剧', '动画', '音乐', '奇幻']",死亡不是真的逝去，遗忘才是永恒的消亡。
54,指环王1：魔戒再现,彼得·杰克逊,"['伊莱贾·伍德', '西恩·奥斯汀', '伊恩·麦克莱恩', '维果·莫腾森']",新西兰 / 美国,英语 / 辛达林语,9.0,422220,2002-04-04(中国大陆),178分钟,"['剧情', '动作', '奇幻', '冒险']",传说的开始。
55,海豚湾,路易·西霍尤斯,"[""Richard O'Barry"", '路易·西霍尤斯', 'Hardy Jones', 'Michael Illiff']",美国,英语 / 日语,9.3,233823,2009-07-31(美国),92分钟,['纪录片'],海豚的微笑，是世界上最高明的伪装。
56,饮食男女,李安,"['郎雄', '杨贵媚', '吴倩莲', '王渝文']",台湾 / 美国,汉语普通话 / 闽南语 / 湖南话,9.1,289347,1994-08-03(美国),124分钟,"['剧情', '家庭']",人生不能像做菜，把所有的料都准备好了才下锅。
57,美丽心灵,朗·霍华德,"['罗素·克劳', '艾德·哈里斯', '詹妮弗·康纳利', '克里斯托弗·普卢默']",美国,英语,8.9,411658,2001-12-13(加州首映),135分钟,"['剧情', '传记']",爱是一切逻辑和原由。
58,狮子王,罗杰·阿勒斯,"['乔纳森·泰勒·托马斯', '马修·布罗德里克', '杰瑞米·艾恩斯', '詹姆斯·厄尔·琼斯']",美国,英语 / 斯瓦希里语 / 科萨语 / 祖鲁语,9.0,401702,1995-07-15(中国大陆),89 分钟,"['剧情', '动画', '歌舞', '家庭', '冒险']",动物版《哈姆雷特》。
59,情书,岩井俊二,"['中山美穗', '丰川悦司', '酒井美纪', '柏原崇']",日本,日语,8.9,512135,1999-03(中国大陆),117分钟,"['剧情', '爱情']",暗恋的极致。
60,钢琴家,罗曼·波兰斯基,"['艾德里安·布洛迪', '托马斯·克莱舒曼', '艾米莉娅·福克斯', '米哈乌·热布罗夫斯基']",法国 / 德国 / 英国 / 波兰,英语 / 德语 / 俄语,9.1,271530,2002-05-24(戛纳电影节),150分钟,"['剧情', '音乐', '传记', '历史', '战争']",音乐能化解仇恨。
61,本杰明·巴顿奇事,大卫·芬奇,"['凯特·布兰切特', '布拉德·皮特', '朱莉娅·奥蒙德', '芳妮·A·钱勃丝']",美国,英语 / 俄语 / 法语,8.8,537012,2008-12-25(美国),166分钟,"['剧情', '爱情', '奇幻']",在时间之河里感受溺水之苦。
62,美国往事,赛尔乔·莱昂内,"['罗伯特·德尼罗', '詹姆斯·伍兹', '伊丽莎白·麦戈文', '乔·佩西']",意大利 / 美国,英语 / 法语 / 意大利语,9.1,232766,1984-02-17(波士顿首映),229分钟(导演剪辑版),"['剧情', '犯罪']",往事如烟，无处祭奠。
